Restaurant Name,Owner/Manager Name,Email,Website URL
"Le Baobab Harlem","","info@lebaobabrestaurant.com","https://www.lebaobabharlem.com"
"Africa Kine","","africaresto94@gmail.com","https://www.africakinerestaurant.com"
"Ponty Bistro","","pontybistro@gmail.com","https://pontybistroharlem.com"
"Clay","","hello@claynyc.com","https://claynyc.com"
"The Handpulled Noodle","","contact@thehandpullednoodle.com","http://www.thehandpullednoodle.com"
"Tsion Cafe","","tsioncafe@gmail.com","http://www.tsioncafe.com"
"ROKC","","sofia@wagstaffworldwide.com","http://rokcnyc.com"
"The Edge Harlem","","info@theedgeharlem.com","http://www.theedgeharlem.com"
"Sylvia's Restaurant","","info@sylviasrestaurant.com","http://www.sylviasrestaurant.com"
"Harlem Shake","","feedback@harlemshake.com","http://www.harlemshakenyc.com"
"Vinateria","","info@vinaterianyc.com","https://www.vinaterianyc.com"
"BLVD Bistro","","info@boulevardbistrony.com","http://boulevardbistrony.com"
"Archer & Goat","","archerandgoat@gmail.com","http://www.archerandgoat.com"
"Melba's","","events@melbasrestaurant.com","http://www.melbasrestaurant.com"
"Nili","","nilicafebk@gmail.com","https://www.nilibk.com"
"Dept of Culture Brooklyn","","deptofculturebk@gmail.com","https://www.deptofculturebk.com"
"Fish Cheeks","","info@fishcheeksnyc.com","https://www.fishcheeksnyc.com"
"Win Son","","info@winsonbrooklyn.com","https://winsonbrooklyn.com"
"Dhamaka","","hello@dhamaka.nyc","https://www.dhamaka.nyc"
"I Sodi","","info@isodinyc.com","https://www.isodinyc.com"
"Rubirosa Ristorante","","info@rubirosanyc.shop","https://www.rubirosanyc.com"
"Frankies Spuntino","","spuntino@frankspm.com","https://www.frankiesspuntino.com"
"Forsythia NYC","","info@forsythianyc.com","https://www.forsythianyc.com"
"Pasquale Jones","","info@pasqualejones.com","https://www.pasqualejones.com"
"Red Hook Tavern","","reservations@redhooktavern.com","https://www.redhooktavern.com"
