Restaurant Name,Owner/Manager Name,Email,Website URL
"Fresa's","","hi@fresaschicken.com","https://www.fresaschicken.com"
"Guero's Taco Bar","","info@gueros.com","https://www.guerostacobar.com"
"Vaquero Taquero","","info@vaquerotaquero.com","https://www.vaquerotaquero.com"
"Licha's Cantina","","lichas.info@gmail.com","https://www.lichascantina.com"
"Bombay Bistro","","bombaysham@yahoo.com","https://www.bombaybistro.com"
"Chi'Lantro","","team@chilantrobbq.com","https://www.chilantrobbq.com"
"Fukumoto","","eat@fukumotoaustin.com","https://www.fukumotoaustin.com"
"Mandola's Italian","","office@mandolas.com","https://www.mandolas.com"
"Juliet Ristorante","","events@juliet-austin.com","https://juliet-austin.com"
"Kerlin BBQ","","contact@kerlinbbq.com","https://kerlinbbq.com"
"Micklethwait","","team@craftmeatsaustin.com","https://craftmeatsaustin.com"
"Mozart's Coffee","","customerservice@mozartscoffee.com","https://mozartscoffee.com"
"Quack's Bakery","","bakery@quacksbakery.com","https://www.quacksbakery.com"
"Sour Duck Market","","info@sourduckaustin.com","https://www.sourduckmarket.com"
"Summer Moon Coffee","","corporate@summermoon.com","https://www.summermooncoffee.com"
"Greater Goods Coffee","","hello@ggroasting.com","https://greatergoodsroasting.com"
"Salty Sow","","saltysowaustin@saltysow.com","https://saltysow.com"
"Fixe Southern House","","keith@austinfixe.com","https://www.fixesouthernhouse.com"
"Parkside","","info@parkside-austin.com","https://www.parkside-austin.com"
"Maie Day","","communications-maieday@southcongresshotel.com","https://www.maieday.com"
"Slab BBQ","","info@slabbbq.com","https://www.slabbbq.com"
"24 Diner","","info@24diner.com","https://www.24diner.com"
"De Nada Cantina","","hablar@denadacantina.com","https://www.denadacantina.com"
