Restaurant Name,Owner/Manager Name,Email,Website URL
"Ricardo Steakhouse","","office@ricardosteakhouse.com","https://www.ricardosteakhouse.com"
"Saggio","","info@saggionyc.com","https://www.saggionyc.com"
"Cafe Sabarsky","","press@neuegalerie.org","https://www.neuegalerie.org"
"Barney Greengrass","","100yearsbg@gmail.com","https://www.barneygreengrass.com"
"Pete's Tavern","","marketing@petestavern.com","https://www.petestavern.com"
"Friend of a Farmer","","about@friendofafarmer.com","https://www.friendofafarmer.com"
"Kashkaval Garden","","info@kashkavalgarden.com","https://www.kashkavalgarden.com"
"Pure Thai Cookhouse","","purethaicookhouse@gmail.com","https://www.purethaicookhouse.com"
"Chez Napoleon","","bonjour@cheznapoleon.com","https://www.cheznapoleon.com"
"Fraunces Tavern","","info@frauncestavern.com","https://www.frauncestavern.com"
"Westville","","catering@westville.com","https://www.westvillenyc.com"
"Henry's End","","henrysend@gmail.com","https://www.henrysend.com"
"Totonno's","","antoinette@totonnosconeyisland.com","https://www.totonnosconeyisland.com"
"Randazzo's Clam Bar","","randazzosbrooklyn@gmail.com","https://www.randazzosclambar.com"
"Olea","","info@oleabrooklyn.com","https://www.oleabrooklyn.com"
"Roman's","","hello@romansnyc.com","https://www.romansnyc.com"
"Christos Steakhouse","","info@christossteakhouse.com","https://www.christossteakhouse.com"
"Milkflower","","milkflowernyc@gmail.com","https://www.milkflowernyc.com"
"Spy C Cuisine","","8usgames.net@gmail.com","https://www.spyccuisine.com"
"Manducatis","","manducatisrestaurant@gmail.com","https://www.manducatis.com"
"Salt & Fat","","saltandfat@muleradio.net","https://www.saltandfat.com"
"Emilia's","","emilias2331@aol.com","https://www.emiliasrestaurant.com"
"Ceetay","","ceetay@gmail.com","https://www.ceetay.com"
"La Morada","","mail@lamoradanyc.com","https://www.lamoradanyc.com"
"Killmeyer's Old Bavaria Inn","","ken@killmeyers.com","https://www.killmeyers.com"
"Violette's Cellar","","info@violettescellar.com","https://www.violettescellar.com"
